case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,114,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,218,-1348618309,
c01-small-normal0,small,normal,0,new,179,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,same
c01-small-normal0,small,normal,1,old,116,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,1,new,260,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,old,197,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,2,new,170,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,3,old,154,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,new,190,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,169,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,135,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,539,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,135,1555866933,
c02-small-normal1,small,normal,0,new,235,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,31,1555866933,same
c02-small-normal1,small,normal,1,old,174,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,77,1555866933,
c02-small-normal1,small,normal,1,new,367,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,77,1555866933,
c02-small-normal1,small,normal,2,old,160,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,59,1555866933,
c02-small-normal1,small,normal,2,new,170,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,23,1555866933,
c02-small-normal1,small,normal,3,old,341,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,3,new,293,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,4,old,306,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,35,1555866933,
c02-small-normal1,small,normal,4,new,314,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,35,1555866933,
c03-small-dense0,small,dense,0,old,3165,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,333,2135296270,
c03-small-dense0,small,dense,0,new,2309,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,284,2135296270,same
c03-small-dense0,small,dense,1,old,2996,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,538,-1054077149,
c03-small-dense0,small,dense,1,new,3011,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,600,-1054077149,
c03-small-dense0,small,dense,2,old,2495,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,483,343229509,
c03-small-dense0,small,dense,2,new,2103,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,421,343229509,
c03-small-dense0,small,dense,3,old,2987,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,293,391904234,
c03-small-dense0,small,dense,3,new,2999,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,302,391904234,
c03-small-dense0,small,dense,4,old,5005,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,591,-439085529,
c03-small-dense0,small,dense,4,new,5534,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,480,-439085529,
